X,Y,ET
266202,5341742,0.21
266232,5341742,0.18
266262,5341742,0.19
266292,5341742,0.22
266202,5341772,0.21
266232,5341772,0.19
266262,5341772,0.18
266292,5341772,0.19
266202,5341802,0.2
266232,5341802,0.21
266262,5341802,0.22
266292,5341802,0.18
266202,5341832,0.19
266232,5341832,0.2
266262,5341832,0.21
266292,5341832,0.22
266202,5341862,0.19
266232,5341862,0.21
266262,5341862,0.18
266292,5341862,0.2
266202,5341892,0.21
266232,5341892,0.19
266262,5341892,0.21
266292,5341892,0.19
266202,5341922,0.18
266232,5341922,0.12
266262,5341922,0.2
266292,5341922,0.19
266202,5341952,0.18
266232,5341952,0.19
266262,5341952,0.2
266292,5341952,0.21
266202,5341982,0.19
266232,5341982,0.2
266262,5341982,0.21
266292,5341982,0.19
266202,5342012,0.18
266232,5342012,0.19
266262,5342012,0.19
266292,5342012,0.2
266202,5342042,0.2
266232,5342042,0.21
266262,5342042,0.19
266292,5342042,0.18
266202,5342072,0.19
266232,5342072,0.21
266262,5342072,0.18
266292,5342072,0.2
266202,5342102,0.21
266232,5342102,0.19
266262,5342102,0.18
266292,5342102,0.19
