X,Y,ET
266312,5341737,0.15
266342,5341737,0.16
266372,5341737,0.16
266402,5341737,0.15
266312,5341767,0.15
266342,5341767,0.16
266372,5341767,0.14
266402,5341767,0.15
266312,5341797,0.13
266342,5341797,0.14
266372,5341797,0.16
266402,5341797,0.17
266312,5341827,0.13
266342,5341827,0.13
266372,5341827,0.14
266402,5341827,0.15
266312,5341857,0.17
266342,5341857,0.15
266372,5341857,0.14
266402,5341857,0.15
266312,5341887,0.14
266342,5341887,0.13
266372,5341887,0.16
266402,5341887,0.16
266312,5341917,0.17
266342,5341917,0.15
266372,5341917,0.15
266402,5341917,0.17
