X,Y,ET
266312,5341737,0.11
266342,5341737,0.09
266372,5341737,0.1
266402,5341737,0.09
266312,5341767,0.09
266342,5341767,0.08
266372,5341767,0.11
266402,5341767,0.1
266312,5341797,0.1
266342,5341797,0.08
266372,5341797,0.09
266402,5341797,0.11
266312,5341827,0.09
266342,5341827,0.08
266372,5341827,0.1
266402,5341827,0.11
266312,5341857,0.09
266342,5341857,0.1
266372,5341857,0.1
266402,5341857,0.09
266312,5341887,0.09
266342,5341887,0.11
266372,5341887,0.09
266402,5341887,0.1
266312,5341917,0.09
266342,5341917,0.08
266372,5341917,0.1
266402,5341917,0.09
