X,Y,ET
266312,5341737,0.18
266342,5341737,0.17
266372,5341737,0.17
266402,5341737,0.16
266312,5341767,0.17
266342,5341767,0.19
266372,5341767,0.16
266402,5341767,0.18
266312,5341797,0.17
266342,5341797,0.19
266372,5341797,0.17
266402,5341797,0.16
266312,5341827,0.17
266342,5341827,0.18
266372,5341827,0.17
266402,5341827,0.16
266312,5341857,0.19
266342,5341857,0.18
266372,5341857,0.16
266402,5341857,0.17
266312,5341887,0.18
266342,5341887,0.18
266372,5341887,0.16
266402,5341887,0.18
266312,5341917,0.17
266342,5341917,0.16
266372,5341917,0.17
266402,5341917,0.17
